id,body,
11,"Guten Tag

Im eBau wurde die Nachforderung angeschlossen im Dossier-Nr. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}).

{{INTERNAL_DOSSIER_LINK}}/additional-demand

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

Freundliche Grüsse
eBau","Buongiorno,

in eBau si è conclusa la richiesta di precisazioni relativa al dossier n. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}).

{{INTERNAL_DOSSIER_LINK}}/additional-demand

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

Cordiali saluti
eBau"
12,"Guten Tag

Im eBau wurde ihre Nachforderung abgelehnt im Dossier-Nr. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}).

{{PUBLIC_DOSSIER_LINK}}/additional-demand

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

Freundliche Grüsse
eBau","Buongiorno,

in eBau la richiesta di precisazioni relativa al dossier n. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) è stata respinta.

{{PUBLIC_DOSSIER_LINK}}/additional-demand

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

Cordiali saluti
eBau"
13,"Guten Tag

Die Beurteilung ({{DECISION_DE}}) zum Dossier mit der Dossier-Nr. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) wurde abgeschlossen. Sie finden die Dokumente unter folgendem Link: 

{{PUBLIC_DOSSIER_LINK}}/feedback

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

Freundliche Grüsse
{{LEITBEHOERDE_NAME_DE}}","Buongiorno,

la valutazione ({{DECISION_DE}}) relativa al dossier n. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) è conclusa. I documenti sono disponibili al seguente link: 

{{PUBLIC_DOSSIER_LINK}}/feedback

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

Cordiali saluti
{{LEITBEHOERDE_NAME_DE}}"
14,"Guten Tag

Die Beurteilung zum Dossier mit der Dossier-Nr. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) wurde abgeschlossen. Sie finden die Dokumente unter folgendem Link:

{{INTERNAL_DOSSIER_LINK}}?instance-resource-name=documents

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

Freundliche Grüsse
{{LEITBEHOERDE_NAME_DE}}","Buongiorno,

la valutazione relativa al dossier n. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) è conclusa. I documenti sono disponibili al seguente link:

{{INTERNAL_DOSSIER_LINK}}?instance-resource-name=documents

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

Cordiali saluti
{{LEITBEHOERDE_NAME_DE}}"
15,"Guten Tag

Die Bauabnahme zum Dossier mit der Dossier-Nr. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) wurde abgeschlossen.

{{INTERNAL_DOSSIER_LINK}}

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

Freundliche Grüsse
{{LEITBEHOERDE_NAME_DE}}","Buongiorno,

il collaudo relativo al dossier n. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) è stato concluso.

{{INTERNAL_DOSSIER_LINK}}

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

Cordiali saluti
{{LEITBEHOERDE_NAME_DE}}"
16,"Guten Tag

Die Baubewilligungsbehörde ({{LEITBEHOERDE_NAME_DE}}) hat das Dossier mit der Dossier-Nr. {{DOSSIER_NR}} ({{INSTANCE_ID}}, {{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) zurückgewiesen. Das Dossier kann nun angepasst und erneut eingereicht werden.

{{PUBLIC_DOSSIER_LINK}}

Mitteilung der Baubewilligungsbehörde:

{{REJECTION_FEEDBACK}}

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.","Buongiorno,

l'autorità competente per il rilascio della licenza edilizia ({{LEITBEHOERDE_NAME_DE}}) ha respinto il dossier n. {{DOSSIER_NR}} ({{INSTANCE_ID}}, {{FORM_NAME_DE}} {{MUNICIPALITY_DE}}). Ora è possibile adeguare il dossier e presentarlo di nuovo.

{{PUBLIC_DOSSIER_LINK}}

Comunicazione dell'autorità competente per il rilascio della licenza edilizia:

{{REJECTION_FEEDBACK}}

Questa e-mail è stata generata automaticamente, si prega di non rispondere."
17,"Guten Tag

Sie erhalten das Dossier mit der Dossier-Nr. {{DOSSIER_NR}}, {{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}).

Bemerkung: {{INQUIRY_REMARK}}

{{INQUIRY_LINK}}

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

Freundliche Grüsse
{{CURRENT_SERVICE_DE}}","Buongiorno,

riceve il dossier n. {{DOSSIER_NR}},{{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}).

Osservazione: {{INQUIRY_REMARK}}

{{INQUIRY_LINK}}

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

Cordiali saluti
{{CURRENT_SERVICE_DE}}"
18,"Guten Tag

Sie haben eine neue Nachricht auf dem Dossier mit der Dossier-Nr. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) erhalten.

{{ PUBLIC_DOSSIER_LINK }}/communications

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

Freundliche Grüsse
eBau","Buongiorno,

ha ricevuto un nuovo messaggio relativo al dossier n. {{DOSSIER_NR}} {{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}).

{{ PUBLIC_DOSSIER_LINK }}/communications

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

Cordiali saluti
eBau"
19,"Guten Tag

Sie haben eine neue Nachricht auf dem Dossier mit der Dossier-Nr. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) erhalten.

{{ INTERNAL_DOSSIER_LINK }}/communications

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

Freundliche Grüsse
eBau","Buongiorno,

ha ricevuto un nuovo messaggio relativo al dossier n. {{DOSSIER_NR}} {{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}).

{{ INTERNAL_DOSSIER_LINK }}/communications

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

Cordiali saluti
eBau"
20,"Guten Tag 

Die gesetzte Frist im Baubewilligungsverfahren für das Dossier mit der Dossier-Nr. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) ist abgelaufen. Fehlende Stellungnahmen, Amts- und Fachberichte, Verfügungen sind bei betroffenen Stellen nachzufordern.

{{INQUIRY_LINK}}

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

{{LEITBEHOERDE_NAME_DE}}","Buongiorno,

il termine fissato nella procedura per il rilascio della licenza edilizia relativa al dossier n. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) è scaduto. Le prese di posizione, i rapporti ufficiali e tecnici, nonché le decisioni mancanti devono essere chiesti ai servizi interessati.

{{INQUIRY_LINK}}

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

"
21,"Guten Tag

Die Bauabnahme zum Dossier mit der Dossier-Nr. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) wurde abgeschlossen.

Die Dokumente finden Sie unter folgendem Link:

{{INTERNAL_DOSSIER_LINK}}

Diese E-Mail wurde automatisch generiert, bitte antworten Sie nicht darauf.

Freundliche Grüsse
{{LEITBEHOERDE_NAME_DE}}","Buongiorno,

il collaudo relativo al dossier n. {{DOSSIER_NR}} ({{FORM_NAME_DE}}, {{MUNICIPALITY_DE}}) è stato concluso.

Trova i documenti al link seguente:

{{INTERNAL_DOSSIER_LINK}}

Questa e-mail è stata generata automaticamente, si prega di non rispondere.

Cordiali saluti
{{LEITBEHOERDE_NAME_DE}}"
